"","SAMPLE_dN15.14.comps"
"Wave_1959",1.11882211619815
"Wave_1960",0.78504100231415
"Wave_1961",-0.0803548132507665
"Wave_1962",-0.442986636028235
"Wave_1963",0.376936601500773
"Wave_1964",0.616976157595195
"Wave_1965",0.679808022305912
"Wave_1966",0.250996276650984
"Wave_1967",0.431314228804486
"Wave_1968",0.740242555158883
"Wave_1969",1.08797676966812
"Wave_1970",1.97859940177878
"Wave_1971",2.21220380450499
"Wave_1972",1.78685146958799
"Wave_1973",2.03614802164702
"Wave_1974",2.86331578034617
"Wave_1975",2.85878728749388
"Wave_1976",2.40679672032323
"Wave_1977",2.49216781805759
"Wave_1978",2.54668135962974
"Wave_1979",1.9749553064164
"Wave_1980",1.95829491320224
"Wave_1981",3.13197382708011
"Wave_1982",2.94733300066668
"Wave_1983",1.77230028078143
"Wave_1984",1.18855215679056
"Wave_1985",0.719842433804451
"Wave_1986",-0.243140928917983
"Wave_1987",-1.56654175969349
"Wave_1988",-2.44496764997213
"Wave_1989",-3.65470093152915
"Wave_1990",-4.77082327036047
"Wave_1991",-5.3176407136576
"Wave_1992",-4.83919577331378
"Wave_1993",-5.32927181393971
"Wave_1994",-5.85843843293534
"Wave_1995",-6.74021797728488
"Wave_1996",-9.06937145806564
"Wave_1997",-9.3826917621513
"Wave_1998",-8.13742096946828
"Wave_1999",-8.21624263674296
"Wave_2000",-7.75269225203498
"Wave_2001",-7.48738553073856
"Wave_2002",-8.13020523383073
"Wave_2003",-9.3621218384665
"Wave_2004",-9.57349769083437
"Wave_2005",-9.01542479132319
"Wave_2006",-8.60190253387309
"Wave_2007",-7.7513047593432
"Wave_2008",-7.55374167379817
"Wave_2009",-7.78980880669801
"Wave_2010",-7.16951828395004
"Wave_2011",-6.61722993284776
"Wave_2012",-5.99837699134383
"Wave_2013",-3.51507616570219
"Wave_2014",-2.8632636346975
"Wave_2015",-4.71874895654119
"Wave_2016",-5.21884675164969
"Wave_2017",-4.01526997677942
"Wave_2018",-1.29515229187796
"Wave_2019",-1.17682527442002
"Wave_2020",-0.77470417579576
"Wave_2021",0.0169612177974061
"Wave_2022",-1.18408710292909
"Wave_2023",-1.51771185061342
"Wave_2024",0.0290432674973684
"Wave_2025",1.04952515656309
"Wave_2026",0.776705135212956
"Wave_2027",0.976947667831329
"Wave_2028",2.24731980651202
"Wave_2029",3.57442029441014
"Wave_2030",3.86509276947413
"Wave_2031",3.18934305699764
"Wave_2032",2.98230008456782
"Wave_2033",2.04828232490121
"Wave_2034",2.37397203474315
"Wave_2035",3.67300512333499
"Wave_2036",4.10007888463795
"Wave_2037",4.91125965974354
"Wave_2038",5.47420191080249
